zone,borough,trip_count,avg_tip,tip_percentage,avg_fare,fare_to_tip_ratio,zone_category
Marine Park/Mill Basin,Brooklyn,363,4.14,22.07,20.64,6.43,Residential,4
Bedford,Brooklyn,1250,4.16,19.41,23.1,8.61,Residential,4
Kew Gardens Hills,Queens,300,4.18,19.51,23.07,18.95,Residential,4
East Harlem North,Manhattan,870,4.18,20.32,22.58,12.93,Residential,4
Sunnyside,Queens,1149,4.31,21.88,21.67,6.18,Residential,4
Coney Island,Brooklyn,330,4.31,20.24,24.89,21.69,Residential,4
College Point,Queens,209,4.34,19.45,24.7,6.94,Residential,4
Bushwick South,Brooklyn,1799,4.41,20.67,23.02,6.52,Residential,4
Flatbush/Ditmas Park,Brooklyn,1117,4.52,20.21,23.95,22.12,Residential,4
Dyker Heights,Brooklyn,346,4.57,23.69,22.86,5.78,Residential,4
Sunset Park West,Brooklyn,927,4.65,21.72,24.29,6.25,Residential,4
Long Island City/Hunters Point,Queens,1499,4.74,21.07,24.66,14.03,Residential,4
Williamsburg (South Side),Brooklyn,1498,4.87,19.14,26.85,6.71,Residential,4
Washington Heights South,Manhattan,1155,5.02,20.51,26.5,7.72,Residential,4
West Concourse,Bronx,455,5.16,20.29,28.2,7.06,Residential,4
Bloomingdale,Manhattan,359,5.25,20.82,26.84,6.03,Residential,4
Morningside Heights,Manhattan,1087,5.25,20.79,27.04,6.86,Residential,4
East Village,Manhattan,2744,5.33,20.11,28.04,6.23,Residential,4
Riverdale/North Riverdale/Fieldston,Bronx,457,5.36,21.43,28.83,6.23,Residential,4
Lincoln Square West,Manhattan,1267,5.43,20.68,28.85,6.31,Residential,4
Roosevelt Island,Manhattan,152,5.44,18.54,30.91,7.25,Residential,4
Lower East Side,Manhattan,1908,5.59,20.29,29.25,6.21,Residential,4
Country Club,Bronx,52,5.63,24.47,27.98,5.74,Residential,4
Red Hook,Brooklyn,329,5.71,19.85,30.38,6.33,Residential,4
Upper West Side North,Manhattan,1448,5.74,21.02,29.17,6.12,Residential,4
Flatiron,Manhattan,1627,6.12,20.68,31.53,10.62,Residential,4
UN/Turtle Bay South,Manhattan,1398,6.14,20.75,31.02,6.02,Residential,4
Upper East Side South,Manhattan,2468,6.29,20.16,33.21,6.14,Residential,4
Murray Hill,Manhattan,2312,6.43,21.22,32.87,5.95,Residential,4
Flushing Meadows-Corona Park,Queens,132,6.45,18.79,36.46,6.63,Residential,4
TriBeCa/Civic Center,Manhattan,2847,6.53,20.21,34.79,6.21,Residential,4
Saint Michaels Cemetery/Woodside,Queens,3,6.59,42.24,18.36,2.55,Residential,4
Willets Point,Queens,11,7.09,14.19,51.78,8.39,Residential,4
Midtown East,Manhattan,2420,7.24,20.57,37.91,5.94,Residential,4
World Trade Center,Manhattan,1043,7.38,19.83,39.75,6.02,Residential,4
Outside of NYC,N/A,4,7.95,23.6,34.86,4.26,Residential,4
LaGuardia Airport,Queens,7534,11.64,19.79,60.53,6.52,Airport,4
Homecrest,Brooklyn,352,3.52,19.87,20.4,7.44,Residential,6
Claremont/Bathgate,Bronx,134,3.54,21.23,18.77,6.83,Residential,6
Bensonhurst East,Brooklyn,384,3.59,20.31,20.04,13.04,Residential,6
Springfield Gardens North,Queens,173,3.66,20.47,21.06,7.39,Residential,6
Elmhurst,Queens,938,3.67,20.37,19.56,6.62,Residential,6
Freshkills Park,Staten Island,5,3.68,21.61,17.58,5.18,Residential,6
Mariners Harbor,Staten Island,133,3.7,23.63,18.8,5.99,Residential,6
Brownsville,Brooklyn,265,3.71,19.78,21.44,17.72,Residential,6
Flatlands,Brooklyn,433,3.82,21.08,20.8,13.31,Residential,6
Rego Park,Queens,426,3.85,20.21,21.48,7.08,Residential,6
Hunts Point,Bronx,217,3.86,18.89,22.42,7.63,Residential,6
Melrose South,Bronx,273,3.96,21.8,20.49,19.25,Residential,6
Kingsbridge Heights,Bronx,178,3.97,22.32,19.9,6.25,Residential,6
Longwood,Bronx,120,3.98,21.4,22.73,23.92,Residential,6
South Ozone Park,Queens,677,4.0,20.82,21.64,12.78,Residential,6
Murray Hill-Queens,Queens,374,4.0,20.73,22.23,6.51,Residential,6
Ozone Park,Queens,184,4.05,21.98,21.79,6.26,Residential,6
New Dorp/Midland Beach,Staten Island,166,4.06,23.61,20.62,6.06,Residential,6
Morrisania/Melrose,Bronx,195,4.06,19.78,22.46,38.92,Residential,6
Briarwood/Jamaica Hills,Queens,317,4.09,20.86,22.41,13.18,Residential,6
University Heights/Morris Heights,Bronx,192,4.1,20.84,21.89,6.52,Residential,6
Queens Village,Queens,265,4.12,19.8,23.71,12.28,Residential,6
Van Cortlandt Park,Bronx,74,4.14,22.96,22.05,6.37,Residential,6
Queensbridge/Ravenswood,Queens,255,4.16,22.14,21.96,6.26,Residential,6
Jackson Heights,Queens,1124,4.18,20.96,21.91,9.62,Residential,6
Bath Beach,Brooklyn,210,4.19,22.85,21.05,10.75,Residential,6
Stuyvesant Heights,Brooklyn,1300,4.2,18.92,23.96,11.42,Residential,6
Springfield Gardens South,Queens,167,4.24,21.76,22.96,7.52,Residential,6
East Flushing,Queens,148,4.3,19.02,23.76,6.91,Residential,6
Erasmus,Brooklyn,313,4.34,19.84,23.49,11.8,Residential,6
Westerleigh,Staten Island,136,4.37,24.34,19.94,5.64,Residential,6
Mott Haven/Port Morris,Bronx,445,4.41,20.05,23.56,15.22,Residential,6
Highbridge Park,Manhattan,14,4.52,19.04,25.65,7.27,Residential,6
Broad Channel,Queens,33,4.53,22.02,27.29,7.16,Residential,6
Prospect-Lefferts Gardens,Brooklyn,994,4.55,19.64,25.08,16.57,Residential,6
Spuyten Duyvil/Kingsbridge,Bronx,568,4.63,21.81,23.73,19.67,Residential,6
Forest Hills,Queens,1501,4.64,20.83,24.77,7.83,Residential,6
East Williamsburg,Brooklyn,1674,4.67,18.66,26.67,6.9,Residential,6
Arrochar/Fort Wadsworth,Staten Island,97,4.71,20.67,24.79,6.24,Residential,6
Cambria Heights,Queens,124,4.72,19.29,26.62,6.76,Residential,6
Prospect Park,Brooklyn,210,4.8,19.41,25.98,6.24,Residential,6
Central Harlem,Manhattan,1095,5.01,20.41,26.51,6.47,Residential,6
Arden Heights,Staten Island,62,5.11,22.27,25.97,5.89,Residential,6
Baisley Park,Queens,352,5.13,20.78,26.41,6.33,Residential,6
Inwood Hill Park,Manhattan,53,5.29,20.6,29.82,5.8,Residential,6
Windsor Terrace,Brooklyn,451,5.31,22.14,26.04,6.01,Residential,6
Boerum Hill,Brooklyn,1335,5.4,19.85,29.19,7.81,Residential,6
Williamsburg (North Side),Brooklyn,2232,5.44,19.61,29.98,6.38,Residential,6
Stuy Town/Peter Cooper Village,Manhattan,477,5.47,20.13,28.81,6.27,Residential,6
Highbridge,Bronx,233,5.6,19.42,31.01,15.18,Residential,6
Upper West Side South,Manhattan,1764,5.97,20.59,30.99,8.03,Residential,6
Chinatown,Manhattan,580,5.98,19.79,31.99,15.82,Residential,6
Gramercy,Manhattan,1710,5.98,20.93,30.77,6.01,Residential,6
Breezy Point/Fort Tilden/Riis Beach,Queens,44,6.03,19.34,34.53,6.64,Residential,6
Greenwich Village North,Manhattan,1386,6.08,20.24,32.4,6.23,Residential,6
Little Italy/NoLiTa,Manhattan,1561,6.16,19.61,33.11,7.39,Residential,6
Lenox Hill West,Manhattan,1527,6.22,21.52,31.69,5.83,Residential,6
Upper East Side North,Manhattan,1877,6.31,20.18,33.24,6.19,Residential,6
East Elmhurst,Queens,368,6.39,22.08,32.87,8.81,Residential,6
Union Sq,Manhattan,2494,6.47,20.19,34.01,6.79,Residential,6
Clinton East,Manhattan,2545,6.77,21.21,34.65,9.17,Residential,6
Penn Station/Madison Sq West,Manhattan,1682,7.02,20.29,36.76,9.32,Residential,6
City Island,Bronx,53,7.15,18.18,41.51,6.8,Residential,6
East Chelsea,Manhattan,3073,7.34,20.33,38.55,7.62,Residential,6
Financial District North,Manhattan,1492,7.48,19.53,40.57,12.42,Business,6
Bronx Park,Bronx,84,7.69,20.21,38.78,6.18,Residential,6
South Williamsburg,Brooklyn,142,3.19,16.86,19.99,8.23,Residential,1
South Jamaica,Queens,179,3.48,20.84,19.17,6.72,Residential,1
North Corona,Queens,198,3.5,19.64,20.15,6.82,Residential,1
Woodside,Queens,789,3.52,21.31,17.9,6.47,Residential,1
Crotona Park East,Bronx,118,3.54,21.02,18.82,6.35,Residential,1
Ocean Parkway South,Brooklyn,145,3.55,18.54,20.74,7.56,Residential,1
East Flatbush/Remsen Village,Brooklyn,310,3.58,20.12,20.64,17.33,Residential,1
Ocean Hill,Brooklyn,340,3.6,19.34,20.03,11.83,Residential,1
Manhattan Beach,Brooklyn,185,3.63,18.48,21.19,7.56,Residential,1
Flushing Meadows-Corona Park,Queens,54,3.64,18.34,21.31,6.91,Residential,1
Pelham Bay,Bronx,141,3.68,20.77,19.21,6.75,Residential,1
East Tremont,Bronx,236,3.73,19.94,19.69,6.91,Residential,1
Van Nest/Morris Park,Bronx,399,3.76,20.82,19.6,7.82,Residential,1
Woodlawn/Wakefield,Bronx,305,3.8,21.35,20.58,12.98,Residential,1
Marine Park/Mill Basin,Brooklyn,407,3.81,20.31,20.5,7.55,Residential,1
Bensonhurst West,Brooklyn,544,3.86,22.51,19.08,6.23,Residential,1
Ridgewood,Queens,997,3.87,20.92,20.21,9.12,Residential,1
Allerton/Pelham Gardens,Bronx,179,3.87,23.45,18.96,26.02,Residential,1
Bushwick South,Brooklyn,1735,3.92,20.12,21.1,6.68,Residential,1
Bedford,Brooklyn,1185,3.94,20.22,20.79,9.12,Residential,1
Norwood,Bronx,356,3.97,21.25,21.05,6.59,Residential,1
Astoria,Queens,1809,3.97,22.06,19.63,7.0,Residential,1
Queensboro Hill,Queens,202,3.98,20.93,20.64,18.47,Residential,1
Crown Heights North,Brooklyn,1771,4.02,20.15,21.89,7.29,Residential,1
West Concourse,Bronx,303,4.03,22.98,19.84,6.77,Residential,1
Sunnyside,Queens,1253,4.04,21.02,20.63,6.2,Residential,1
Coney Island,Brooklyn,326,4.06,20.84,21.36,6.86,Residential,1
East New York/Pennsylvania Avenue,Brooklyn,129,4.07,21.44,20.74,23.46,Residential,1
Kew Gardens Hills,Queens,252,4.08,19.2,22.17,6.82,Residential,1
East Harlem North,Manhattan,899,4.11,20.74,21.61,7.01,Residential,1
Crotona Park,Bronx,8,4.12,17.29,26.39,8.07,Residential,1
Dyker Heights,Brooklyn,357,4.15,22.22,20.84,8.24,Residential,1
Saint Albans,Queens,305,4.15,21.6,22.63,15.75,Residential,1
Sunset Park West,Brooklyn,901,4.21,20.16,22.97,10.71,Residential,1
Laurelton,Queens,137,4.24,20.27,23.15,6.43,Residential,1
Flatbush/Ditmas Park,Brooklyn,1090,4.29,20.76,22.73,10.35,Residential,1
College Point,Queens,176,4.4,18.9,26.16,6.99,Residential,1
Long Island City/Hunters Point,Queens,1580,4.4,21.13,22.55,10.27,Residential,1
Port Richmond,Staten Island,87,4.47,22.27,23.35,5.97,Residential,1
Williamsburg (South Side),Brooklyn,1451,4.52,19.22,25.1,6.6,Residential,1
Washington Heights South,Manhattan,1084,4.69,20.29,24.81,6.37,Residential,1
Bloomingdale,Manhattan,299,4.76,20.85,24.54,6.16,Residential,1
Morningside Heights,Manhattan,960,4.82,21.03,25.04,6.08,Residential,1
Outside of NYC,N/A,5,4.93,20.25,25.08,5.26,Residential,1
East Village,Manhattan,2636,5.0,20.68,25.86,6.68,Residential,1
Lincoln Square West,Manhattan,1381,5.05,21.12,26.01,6.05,Residential,1
Roosevelt Island,Manhattan,158,5.09,19.7,27.4,6.41,Residential,1
Riverdale/North Riverdale/Fieldston,Bronx,431,5.16,22.09,26.14,5.8,Residential,1
Lower East Side,Manhattan,1880,5.18,20.21,27.92,6.25,Residential,1
West Brighton,Staten Island,149,5.2,23.73,25.88,5.99,Residential,1
Upper West Side North,Manhattan,1545,5.29,21.99,26.23,5.88,Residential,1
Country Club,Bronx,45,5.31,27.43,22.84,4.92,Residential,1
Marine Park/Floyd Bennett Field,Brooklyn,15,5.36,31.45,20.28,4.6,Residential,1
Flatiron,Manhattan,1597,5.42,21.53,27.44,6.03,Residential,1
UN/Turtle Bay South,Manhattan,1298,5.48,21.2,27.52,5.93,Residential,1
Red Hook,Brooklyn,323,5.53,19.33,30.18,17.36,Residential,1
Upper East Side South,Manhattan,2320,5.79,21.47,29.43,5.97,Residential,1
Murray Hill,Manhattan,2278,5.8,22.03,28.66,5.78,Residential,1
TriBeCa/Civic Center,Manhattan,2635,6.09,20.52,32.21,6.15,Residential,1
Midtown East,Manhattan,2429,6.62,21.26,33.74,5.85,Residential,1
World Trade Center,Manhattan,960,7.11,20.24,37.69,8.07,Residential,1
Willets Point,Queens,2,7.81,24.62,31.53,4.1,Residential,1
LaGuardia Airport,Queens,6239,10.68,19.97,55.07,8.14,Airport,1
Saint Michaels Cemetery/Woodside,Queens,2,11.83,16.64,71.35,6.01,Residential,1
North Corona,Queens,194,3.4,20.58,18.41,8.88,Residential,5
South Jamaica,Queens,192,3.51,20.85,18.91,43.49,Residential,5
Pelham Bay,Bronx,138,3.53,21.91,17.77,6.43,Residential,5
East Tremont,Bronx,211,3.64,20.06,19.86,15.2,Residential,5
East New York/Pennsylvania Avenue,Brooklyn,119,3.65,18.34,20.97,7.18,Residential,5
Outside of NYC,N/A,3,3.67,33.7,10.98,3.19,Residential,5
Ocean Parkway South,Brooklyn,152,3.78,19.17,22.67,7.07,Residential,5
Queensboro Hill,Queens,227,3.88,18.8,21.39,33.18,Residential,5
Saint Albans,Queens,287,3.93,21.61,21.49,34.24,Residential,5
Woodside,Queens,698,3.98,21.62,19.71,6.25,Residential,5
Allerton/Pelham Gardens,Bronx,196,4.09,21.93,20.57,13.29,Residential,5
East Flatbush/Remsen Village,Brooklyn,290,4.11,20.66,22.48,7.05,Residential,5
Marine Park/Mill Basin,Brooklyn,338,4.16,20.59,22.88,10.62,Residential,5
Bensonhurst West,Brooklyn,498,4.18,21.95,21.67,6.5,Residential,5
Kew Gardens Hills,Queens,285,4.22,19.47,24.18,13.71,Residential,5
West Brighton,Staten Island,169,4.23,20.66,21.73,6.49,Residential,5
Port Richmond,Staten Island,102,4.23,22.42,21.3,6.25,Residential,5
Norwood,Bronx,352,4.24,21.1,22.9,29.67,Residential,5
Crotona Park East,Bronx,121,4.26,22.51,21.26,5.83,Residential,5
Ocean Hill,Brooklyn,354,4.27,19.67,22.88,13.66,Residential,5
South Williamsburg,Brooklyn,129,4.29,18.03,24.02,7.43,Residential,5
Laurelton,Queens,153,4.31,20.95,22.83,6.53,Residential,5
Manhattan Beach,Brooklyn,193,4.36,21.95,22.94,6.54,Residential,5
Van Nest/Morris Park,Bronx,318,4.41,22.67,21.28,5.95,Residential,5
Sunnyside,Queens,1110,4.42,21.65,22.27,5.97,Residential,5
Ridgewood,Queens,1070,4.42,21.33,22.47,6.09,Residential,5
College Point,Queens,185,4.43,19.75,24.94,6.6,Residential,5
East Harlem North,Manhattan,874,4.47,21.36,22.58,12.93,Residential,5
Bedford,Brooklyn,1192,4.47,21.25,22.87,8.9,Residential,5
Astoria,Queens,1874,4.48,21.94,22.36,7.4,Residential,5
Crown Heights North,Brooklyn,1851,4.49,20.15,23.77,13.78,Residential,5
Bushwick South,Brooklyn,1755,4.58,20.79,23.52,9.18,Residential,5
Dyker Heights,Brooklyn,324,4.58,22.82,23.28,5.94,Residential,5
Woodlawn/Wakefield,Bronx,250,4.64,21.01,24.03,12.64,Residential,5
Country Club,Bronx,57,4.78,20.88,25.87,6.91,Residential,5
Flatbush/Ditmas Park,Brooklyn,1087,4.85,21.48,24.42,6.2,Residential,5
Sunset Park West,Brooklyn,943,5.04,21.49,25.24,5.86,Residential,5
Coney Island,Brooklyn,388,5.04,22.1,26.96,6.42,Residential,5
Long Island City/Hunters Point,Queens,1544,5.14,21.42,26.07,5.97,Residential,5
Williamsburg (South Side),Brooklyn,1456,5.19,20.0,28.18,6.4,Residential,5
Bloomingdale,Manhattan,358,5.36,22.16,27.04,5.94,Residential,5
Washington Heights South,Manhattan,1100,5.55,21.63,27.7,6.15,Residential,5
Riverdale/North Riverdale/Fieldston,Bronx,486,5.63,21.53,29.22,6.09,Residential,5
Red Hook,Brooklyn,412,5.76,20.25,30.39,8.16,Residential,5
Saint Michaels Cemetery/Woodside,Queens,9,5.77,22.83,22.06,5.94,Residential,5
Lower East Side,Manhattan,1978,5.86,20.33,30.51,7.03,Residential,5
Lincoln Square West,Manhattan,1211,5.87,21.48,29.43,6.52,Residential,5
East Village,Manhattan,2684,5.91,21.04,29.91,9.41,Residential,5
Upper West Side North,Manhattan,1368,5.94,21.56,30.16,6.79,Residential,5
Morningside Heights,Manhattan,1050,6.03,21.53,30.52,13.19,Residential,5
Roosevelt Island,Manhattan,163,6.24,19.22,34.59,22.07,Residential,5
West Concourse,Bronx,416,6.52,20.71,33.4,6.19,Residential,5
UN/Turtle Bay South,Manhattan,1365,6.56,21.02,33.32,7.22,Residential,5
Flatiron,Manhattan,1631,6.6,21.29,33.47,5.89,Residential,5
Marine Park/Floyd Bennett Field,Brooklyn,19,6.73,25.58,29.74,6.59,Residential,5
Murray Hill,Manhattan,2179,6.8,21.83,33.75,6.57,Residential,5
Crotona Park,Bronx,7,7.08,22.63,29.73,6.52,Residential,5
Upper East Side South,Manhattan,2520,7.15,20.96,36.47,6.69,Residential,5
TriBeCa/Civic Center,Manhattan,2842,7.39,20.6,38.4,6.36,Residential,5
Flushing Meadows-Corona Park,Queens,310,7.63,21.55,38.03,5.83,Residential,5
World Trade Center,Manhattan,1080,8.13,20.52,42.38,5.97,Residential,5
Midtown East,Manhattan,2339,8.16,21.01,41.45,5.69,Residential,5
Willets Point,Queens,6,11.71,13.44,74.29,13.64,Residential,5
LaGuardia Airport,Queens,7691,12.17,20.0,63.38,6.44,Airport,5
Ozone Park,Queens,190,3.22,21.39,16.82,6.45,Residential,2
Claremont/Bathgate,Bronx,163,3.34,19.02,18.65,7.27,Residential,2
Springfield Gardens North,Queens,162,3.37,20.17,19.24,7.73,Residential,2
Brownsville,Brooklyn,243,3.62,22.11,19.05,34.23,Residential,2
Bensonhurst East,Brooklyn,436,3.63,21.94,20.18,18.18,Residential,2
University Heights/Morris Heights,Bronx,235,3.63,20.63,19.14,41.92,Residential,2
Morrisania/Melrose,Bronx,181,3.65,19.31,20.75,24.4,Residential,2
Springfield Gardens South,Queens,156,3.67,20.58,20.98,16.07,Residential,2
East Flushing,Queens,141,3.67,19.83,20.39,7.08,Residential,2
Homecrest,Brooklyn,350,3.7,21.21,19.12,7.08,Residential,2
Elmhurst,Queens,942,3.72,21.39,18.82,8.35,Residential,2
Highbridge,Bronx,183,3.77,23.18,19.21,6.39,Residential,2
Melrose South,Bronx,304,3.81,20.95,19.27,12.17,Residential,2
Freshkills Park,Staten Island,11,3.81,23.82,17.95,4.78,Residential,2
Bath Beach,Brooklyn,190,3.82,21.53,18.96,11.76,Residential,2
Cambria Heights,Queens,109,3.83,19.56,23.04,7.34,Residential,2
Rego Park,Queens,393,3.84,21.31,19.97,6.54,Residential,2
South Ozone Park,Queens,546,3.84,22.0,20.0,6.48,Residential,2
Murray Hill-Queens,Queens,353,3.85,21.23,20.3,6.44,Residential,2
Stuyvesant Heights,Brooklyn,1270,3.88,19.74,21.69,7.06,Residential,2
Queensbridge/Ravenswood,Queens,159,3.88,21.6,20.18,6.77,Residential,2
Briarwood/Jamaica Hills,Queens,310,3.89,20.92,20.56,6.83,Residential,2
Mariners Harbor,Staten Island,158,3.91,23.67,19.29,6.14,Residential,2
Flatlands,Brooklyn,478,3.91,20.52,21.22,6.72,Residential,2
Jackson Heights,Queens,1087,3.95,20.56,20.56,8.83,Residential,2
Queens Village,Queens,255,3.98,21.26,21.76,6.75,Residential,2
Hunts Point,Bronx,206,4.07,21.13,21.56,15.72,Residential,2
Baisley Park,Queens,274,4.08,22.53,20.74,13.41,Residential,2
Kingsbridge Heights,Bronx,200,4.08,21.52,21.15,6.53,Residential,2
Van Cortlandt Park,Bronx,48,4.18,18.67,23.88,7.0,Residential,2
Forest Hills,Queens,1304,4.18,21.15,21.9,6.27,Residential,2
Prospect-Lefferts Gardens,Brooklyn,1009,4.21,19.86,23.26,7.01,Residential,2
Erasmus,Brooklyn,292,4.21,21.58,22.23,6.68,Residential,2
Mott Haven/Port Morris,Bronx,440,4.23,20.78,22.04,17.98,Residential,2
Highbridge Park,Manhattan,9,4.31,21.71,21.4,6.78,Residential,2
Longwood,Bronx,127,4.32,21.97,21.22,15.43,Residential,2
Westerleigh,Staten Island,149,4.37,24.05,20.88,5.93,Residential,2
Central Harlem,Manhattan,1040,4.38,20.59,23.54,8.0,Residential,2
Prospect Park,Brooklyn,115,4.41,21.08,24.6,6.56,Residential,2
East Williamsburg,Brooklyn,1436,4.42,27.05,23.17,6.97,Residential,2
New Dorp/Midland Beach,Staten Island,151,4.46,22.23,23.12,6.58,Residential,2
Spuyten Duyvil/Kingsbridge,Bronx,597,4.6,23.08,22.21,8.03,Residential,2
Windsor Terrace,Brooklyn,428,4.71,21.88,23.6,6.06,Residential,2
Stuy Town/Peter Cooper Village,Manhattan,511,4.83,21.22,24.04,6.08,Residential,2
Boerum Hill,Brooklyn,1413,4.83,20.51,25.76,6.97,Residential,2
Williamsburg (North Side),Brooklyn,1872,4.93,19.88,26.45,6.45,Residential,2
Inwood Hill Park,Manhattan,58,5.0,22.2,25.62,5.86,Residential,2
Arden Heights,Staten Island,79,5.15,20.17,26.07,6.97,Residential,2
Arrochar/Fort Wadsworth,Staten Island,90,5.21,22.53,26.74,5.98,Residential,2
Chinatown,Manhattan,597,5.21,20.71,26.9,11.84,Residential,2
Gramercy,Manhattan,1730,5.26,21.27,26.52,6.48,Residential,2
Bronx Park,Bronx,34,5.33,17.2,30.74,9.32,Residential,2
Lenox Hill West,Manhattan,1596,5.39,21.24,27.34,7.45,Residential,2
Little Italy/NoLiTa,Manhattan,1651,5.44,20.18,29.16,6.28,Residential,2
Greenwich Village North,Manhattan,1703,5.53,20.7,28.6,7.66,Residential,2
Upper East Side North,Manhattan,2230,5.58,20.65,29.16,6.16,Residential,2
Clinton East,Manhattan,2320,5.64,21.42,28.78,8.07,Residential,2
Broad Channel,Queens,14,5.67,28.52,27.17,5.86,Residential,2
Union Sq,Manhattan,2533,5.75,21.03,29.8,6.06,Residential,2
Upper West Side South,Manhattan,2061,5.75,21.23,29.59,6.0,Residential,2
East Elmhurst,Queens,283,5.75,19.34,31.49,8.47,Residential,2
Penn Station/Madison Sq West,Manhattan,1506,6.1,20.83,32.15,6.0,Residential,2
East Chelsea,Manhattan,2923,6.57,20.71,33.72,7.91,Residential,2
City Island,Bronx,23,6.78,17.21,38.63,6.77,Residential,2
Financial District North,Manhattan,1284,6.95,19.98,35.91,7.69,Business,2
Breezy Point/Fort Tilden/Riis Beach,Queens,8,8.68,18.67,47.58,6.87,Residential,2
Ocean Parkway South,Brooklyn,106,3.08,18.2,18.79,7.54,Residential,7
Crotona Park,Bronx,10,3.19,20.79,18.63,6.03,Residential,7
East New York/Pennsylvania Avenue,Brooklyn,142,3.42,20.46,19.17,6.83,Residential,7
Dyker Heights,Brooklyn,323,3.43,20.78,18.52,6.74,Residential,7
Allerton/Pelham Gardens,Bronx,203,3.48,21.54,18.37,6.74,Residential,7
Crotona Park East,Bronx,104,3.51,20.58,18.93,19.9,Residential,7
North Corona,Queens,202,3.55,19.46,20.42,27.54,Residential,7
Kew Gardens Hills,Queens,244,3.59,18.02,21.8,8.28,Residential,7
East Tremont,Bronx,245,3.59,18.84,21.0,8.29,Residential,7
Outside of NYC,N/A,3,3.61,12.57,28.06,8.37,Residential,7
Van Nest/Morris Park,Bronx,337,3.64,21.71,19.08,10.21,Residential,7
Manhattan Beach,Brooklyn,186,3.7,20.53,20.73,7.11,Residential,7
East Flatbush/Remsen Village,Brooklyn,336,3.71,19.79,21.76,19.69,Residential,7
South Williamsburg,Brooklyn,110,3.75,19.21,21.97,7.32,Residential,7
South Jamaica,Queens,203,3.75,22.87,18.86,6.45,Residential,7
Pelham Bay,Bronx,131,3.8,19.26,20.9,6.67,Residential,7
Norwood,Bronx,301,3.91,19.77,20.86,15.48,Residential,7
Bensonhurst West,Brooklyn,562,3.91,21.19,20.64,6.55,Residential,7
Woodside,Queens,777,3.92,22.19,19.46,9.59,Residential,7
Ocean Hill,Brooklyn,326,3.98,19.46,22.25,6.94,Residential,7
Bedford,Brooklyn,1291,4.01,19.25,22.46,7.89,Residential,7
Saint Albans,Queens,304,4.03,20.97,22.1,6.64,Residential,7
Port Richmond,Staten Island,101,4.06,21.24,22.06,6.95,Residential,7
Queensboro Hill,Queens,233,4.07,19.88,22.13,14.88,Residential,7
Laurelton,Queens,158,4.11,22.61,20.67,6.12,Residential,7
Astoria,Queens,1909,4.16,21.4,21.44,9.32,Residential,7
Sunnyside,Queens,1072,4.16,20.29,22.37,8.91,Residential,7
Ridgewood,Queens,1131,4.19,20.37,22.34,9.48,Residential,7
Marine Park/Mill Basin,Brooklyn,376,4.21,20.44,23.1,6.73,Residential,7
Crown Heights North,Brooklyn,1898,4.22,19.85,22.96,12.07,Residential,7
Bushwick South,Brooklyn,1733,4.23,19.57,22.92,8.68,Residential,7
Coney Island,Brooklyn,428,4.39,19.0,25.34,7.09,Residential,7
East Harlem North,Manhattan,1000,4.43,22.37,22.01,6.03,Residential,7
Country Club,Bronx,47,4.45,23.74,21.94,5.82,Residential,7
Flatbush/Ditmas Park,Brooklyn,1025,4.48,20.24,24.08,7.51,Residential,7
College Point,Queens,180,4.51,20.93,24.48,26.03,Residential,7
Sunset Park West,Brooklyn,900,4.55,20.48,24.34,6.71,Residential,7
Woodlawn/Wakefield,Bronx,279,4.59,21.04,23.14,15.71,Residential,7
West Brighton,Staten Island,168,4.6,22.41,24.03,6.47,Residential,7
Long Island City/Hunters Point,Queens,1634,4.64,21.0,24.25,6.87,Residential,7
Williamsburg (South Side),Brooklyn,1432,4.89,19.33,26.54,6.74,Residential,7
Morningside Heights,Manhattan,914,4.97,20.67,26.27,6.29,Residential,7
Washington Heights South,Manhattan,1110,4.99,20.34,26.35,6.28,Residential,7
Saint Michaels Cemetery/Woodside,Queens,8,5.08,19.92,26.38,6.41,Residential,7
Riverdale/North Riverdale/Fieldston,Bronx,374,5.13,22.19,25.83,6.15,Residential,7
Bloomingdale,Manhattan,305,5.24,21.86,26.39,5.82,Residential,7
East Village,Manhattan,2522,5.25,20.52,27.49,6.91,Residential,7
Lower East Side,Manhattan,1987,5.38,20.35,28.92,6.3,Residential,7
Lincoln Square West,Manhattan,1054,5.39,20.91,28.43,6.04,Residential,7
Upper West Side North,Manhattan,1217,5.73,21.46,29.43,5.95,Residential,7
Red Hook,Brooklyn,386,5.84,19.8,31.99,6.38,Residential,7
Flatiron,Manhattan,1573,5.84,21.54,29.59,5.9,Residential,7
Roosevelt Island,Manhattan,150,5.88,19.62,31.43,6.55,Residential,7
UN/Turtle Bay South,Manhattan,1431,6.08,20.72,31.1,6.57,Residential,7
TriBeCa/Civic Center,Manhattan,2387,6.44,19.83,35.05,6.25,Residential,7
Murray Hill,Manhattan,2266,6.45,21.15,32.95,7.5,Residential,7
Upper East Side South,Manhattan,2064,6.45,21.02,34.01,6.81,Residential,7
Marine Park/Floyd Bennett Field,Brooklyn,24,6.64,22.0,31.8,6.11,Residential,7
West Concourse,Bronx,489,7.02,20.41,37.91,17.91,Residential,7
Midtown East,Manhattan,2301,7.17,20.44,37.3,6.69,Residential,7
World Trade Center,Manhattan,1094,7.25,20.41,38.87,8.37,Residential,7
Willets Point,Queens,17,8.54,19.91,48.33,6.46,Residential,7
