zone,borough,trip_count,avg_tip,tip_percentage,avg_fare,fare_to_tip_ratio,zone_category
Bensonhurst East,Brooklyn,373,3.83,20.61,21.2,6.64,Residential,8
Longwood,Bronx,129,3.85,20.76,20.62,7.69,Residential,8
Briarwood/Jamaica Hills,Queens,330,3.92,19.07,23.03,14.32,Residential,8
Melrose South,Bronx,288,3.92,21.07,20.85,20.61,Residential,8
South Ozone Park,Queens,681,3.94,20.91,21.21,10.22,Residential,8
Mariners Harbor,Staten Island,166,3.95,21.94,21.56,6.29,Residential,8
Rego Park,Queens,437,3.96,19.67,21.73,18.16,Residential,8
Bath Beach,Brooklyn,179,3.98,21.24,20.91,6.33,Residential,8
East Flushing,Queens,151,3.98,19.54,22.18,6.74,Residential,8
Murray Hill-Queens,Queens,360,4.0,20.64,21.2,6.58,Residential,8
Kingsbridge Heights,Bronx,163,4.01,19.69,22.28,19.09,Residential,8
Springfield Gardens North,Queens,193,4.04,20.2,23.24,7.22,Residential,8
Jackson Heights,Queens,1077,4.07,19.98,22.52,13.6,Residential,8
Van Cortlandt Park,Bronx,66,4.16,21.14,22.63,6.21,Residential,8
Mott Haven/Port Morris,Bronx,461,4.21,19.5,23.26,6.97,Residential,8
Flatlands,Brooklyn,484,4.23,20.46,23.96,6.94,Residential,8
Hunts Point,Bronx,180,4.25,18.98,24.2,7.37,Residential,8
Freshkills Park,Staten Island,4,4.25,32.85,14.03,4.26,Residential,8
Stuyvesant Heights,Brooklyn,1239,4.27,18.65,24.26,9.95,Residential,8
Queens Village,Queens,296,4.27,19.76,24.96,7.0,Residential,8
Queensbridge/Ravenswood,Queens,239,4.3,21.4,23.32,6.6,Residential,8
Prospect-Lefferts Gardens,Brooklyn,1004,4.42,19.82,24.58,9.58,Residential,8
Claremont/Bathgate,Bronx,164,4.44,20.92,22.34,6.92,Residential,8
New Dorp/Midland Beach,Staten Island,111,4.57,22.28,23.86,5.95,Residential,8
East Williamsburg,Brooklyn,1362,4.59,19.24,25.4,10.57,Residential,8
Forest Hills,Queens,1504,4.61,20.63,24.85,6.6,Residential,8
Spuyten Duyvil/Kingsbridge,Bronx,553,4.62,23.02,22.8,6.19,Residential,8
Erasmus,Brooklyn,318,4.62,20.48,24.85,15.48,Residential,8
Cambria Heights,Queens,107,4.69,18.17,30.24,7.53,Residential,8
Prospect Park,Brooklyn,171,4.69,19.17,25.76,6.4,Residential,8
Baisley Park,Queens,321,4.7,19.69,26.2,7.23,Residential,8
Springfield Gardens South,Queens,174,4.73,20.28,27.58,11.26,Residential,8
Central Harlem,Manhattan,1086,4.83,21.21,25.23,6.37,Residential,8
Westerleigh,Staten Island,134,4.83,26.28,22.48,5.84,Residential,8
Arrochar/Fort Wadsworth,Staten Island,88,4.97,23.09,24.71,6.39,Residential,8
Inwood Hill Park,Manhattan,41,4.97,17.44,27.11,7.29,Residential,8
Williamsburg (North Side),Brooklyn,2063,5.01,19.32,27.99,7.55,Residential,8
Boerum Hill,Brooklyn,1364,5.25,20.4,28.12,8.65,Residential,8
Windsor Terrace,Brooklyn,388,5.26,21.09,27.12,6.08,Residential,8
Chinatown,Manhattan,597,5.32,19.74,28.79,6.29,Residential,8
Highbridge Park,Manhattan,20,5.38,22.89,25.52,5.99,Residential,8
City Island,Bronx,28,5.39,17.82,32.87,6.7,Residential,8
Gramercy,Manhattan,1606,5.4,20.81,28.01,6.09,Residential,8
Highbridge,Bronx,210,5.44,20.05,30.87,7.31,Residential,8
Stuy Town/Peter Cooper Village,Manhattan,496,5.45,21.27,27.06,5.78,Residential,8
Lenox Hill West,Manhattan,1434,5.53,21.17,28.5,6.55,Residential,8
Little Italy/NoLiTa,Manhattan,1539,5.84,19.85,31.62,9.49,Residential,8
Broad Channel,Queens,15,5.84,24.74,26.06,5.05,Residential,8
Arden Heights,Staten Island,62,5.86,25.1,28.35,5.76,Residential,8
Greenwich Village North,Manhattan,1282,5.91,20.48,30.56,6.18,Residential,8
East Elmhurst,Queens,384,6.01,20.82,31.91,6.47,Residential,8
Upper East Side North,Manhattan,1635,6.04,20.3,32.03,7.39,Residential,8
Upper West Side South,Manhattan,1646,6.09,22.08,30.58,9.82,Residential,8
Union Sq,Manhattan,2341,6.19,20.34,32.44,6.7,Residential,8
Clinton East,Manhattan,2219,6.39,21.09,33.02,6.55,Residential,8
Penn Station/Madison Sq West,Manhattan,1606,6.44,20.7,33.45,6.07,Residential,8
Bronx Park,Bronx,62,6.49,18.44,36.14,6.98,Residential,8
Breezy Point/Fort Tilden/Riis Beach,Queens,50,6.69,20.87,34.76,5.63,Residential,8
East Chelsea,Manhattan,2872,6.81,20.35,35.44,7.31,Residential,8
Financial District North,Manhattan,1411,6.96,19.38,38.35,6.26,Business,8
Highbridge Park,Manhattan,24,3.09,17.94,17.81,7.71,Residential,9
Freshkills Park,Staten Island,4,3.15,23.66,19.14,7.5,Residential,9
Broad Channel,Queens,12,3.24,22.38,15.76,5.3,Residential,9
Springfield Gardens North,Queens,140,3.41,17.55,22.76,45.93,Residential,9
University Heights/Morris Heights,Bronx,193,3.47,18.86,20.21,7.63,Residential,9
Ozone Park,Queens,177,3.48,20.04,19.46,6.63,Residential,9
Homecrest,Brooklyn,361,3.48,19.99,19.86,8.7,Residential,9
Briarwood/Jamaica Hills,Queens,310,3.69,18.73,22.2,26.28,Residential,9
Kingsbridge Heights,Bronx,176,3.73,18.7,20.96,18.45,Residential,9
Longwood,Bronx,113,3.76,18.66,22.88,7.61,Residential,9
