zone,trip_count,total_airport_fees,avg_company_profit,avg_driver_income
Elmhurst,209,507.5,9.67,23.97,1
Cambria Heights,68,161.25,10.24,23.78,1
East Flushing,36,90.0,10.52,23.85,1
Rego Park,108,265.0,11.4,25.45,1
Briarwood/Jamaica Hills,115,276.25,11.41,21.17,1
Erasmus,54,131.25,12.15,45.56,1
Forest Hills,304,746.25,12.35,23.35,1
Murray Hill-Queens,54,131.25,12.61,25.49,1
Queens Village,102,241.25,12.73,27.19,1
Prospect-Lefferts Gardens,226,551.25,13.85,43.96,1
Bath Beach,25,57.5,14.46,49.22,1
Flatlands,101,243.75,14.57,39.55,1
Breezy Point/Fort Tilden/Riis Beach,2,5.0,15.65,47.07,1
Longwood,26,61.25,15.9,38.95,1
Stuyvesant Heights,253,612.5,16.02,38.46,1
East Williamsburg,283,697.5,16.12,38.85,1
Queensbridge/Ravenswood,57,140.0,16.19,33.38,1
Bensonhurst East,37,92.5,16.67,48.6,1
Highbridge Park,2,5.0,17.11,39.16,1
Van Cortlandt Park,6,13.75,17.47,46.66,1
Melrose South,51,125.0,17.73,35.89,1
Hunts Point,29,71.25,17.93,37.01,1
University Heights/Morris Heights,33,82.5,18.17,42.39,1
Morrisania/Melrose,47,111.25,18.26,35.95,1
Homecrest,80,197.5,18.73,51.14,1
Claremont/Bathgate,14,31.25,18.98,45.06,1
Kingsbridge Heights,33,80.0,19.71,44.86,1
Highbridge,40,98.75,20.44,41.71,1
Williamsburg (North Side),488,1213.75,20.8,42.28,1
Prospect Park,9,22.5,21.23,49.95,1
Mott Haven/Port Morris,82,202.5,21.7,35.13,1
Windsor Terrace,61,152.5,21.8,59.14,1
Boerum Hill,295,733.75,22.3,49.49,1
Bronx Park,1,2.5,23.75,27.31,1
Arrochar/Fort Wadsworth,8,20.0,24.31,55.51,1
Stuy Town/Peter Cooper Village,159,393.75,24.35,47.22,1
City Island,2,5.0,25.25,66.33,1
Central Harlem,227,552.5,25.95,41.64,1
Spuyten Duyvil/Kingsbridge,52,130.0,27.12,55.91,1
New Dorp/Midland Beach,5,12.5,27.24,56.9,1
Lenox Hill West,378,933.75,28.33,46.55,1
Chinatown,82,203.75,29.51,49.6,1
Gramercy,440,1092.5,29.86,44.85,1
Mariners Harbor,20,48.75,30.16,41.66,1
Inwood Hill Park,5,12.5,30.87,44.09,1
Little Italy/NoLiTa,321,800.0,31.98,48.52,1
Financial District North,509,1270.0,32.27,52.9,1
Clinton East,855,2120.0,33.34,52.3,1
Upper East Side North,420,1043.75,34.13,47.66,1
Greenwich Village North,308,766.25,34.9,52.41,1
Penn Station/Madison Sq West,472,1170.0,35.46,50.73,1
Upper West Side South,419,1040.0,35.73,55.51,1
Union Sq,503,1255.0,37.58,50.06,1
Arden Heights,6,15.0,38.01,57.07,1
East Chelsea,827,2056.25,38.19,53.02,1
Westerleigh,16,38.75,38.23,39.97,1
Saint Michaels Cemetery/Woodside,1,2.5,1.1,16.8,4
Crotona Park,1,2.5,4.42,29.31,4
North Corona,71,167.5,7.15,19.28,4
Laurelton,128,296.25,8.85,18.7,4
Willets Point,1,2.5,9.18,12.56,4
Saint Albans,236,552.5,9.34,21.92,4
Marine Park/Floyd Bennett Field,3,7.5,9.48,45.72,4
College Point,50,122.5,9.89,26.66,4
East New York/Pennsylvania Avenue,72,172.5,9.91,26.06,4
South Jamaica,129,305.0,9.97,19.97,4
Astoria,457,1116.25,10.39,28.04,4
Queensboro Hill,53,131.25,10.49,24.12,4
East Flatbush/Remsen Village,114,270.0,10.78,36.16,4
Woodside,167,411.25,10.84,24.72,4
Kew Gardens Hills,102,245.0,11.52,23.92,4
Ocean Hill,107,250.0,11.6,34.71,4
Sunnyside,205,501.25,12.15,31.66,4
Flushing Meadows-Corona Park,16,40.0,12.37,20.57,4
Ridgewood,207,506.25,13.84,35.59,4
Crotona Park East,17,40.0,14.4,43.08,4
South Williamsburg,21,51.25,14.8,39.37,4
Marine Park/Mill Basin,79,195.0,14.82,44.41,4
Bushwick South,417,1016.25,14.85,37.96,4
Crown Heights North,575,1393.75,15.36,41.82,4
Bensonhurst West,59,145.0,15.55,53.94,4
Flatbush/Ditmas Park,182,445.0,15.64,49.77,4
East Tremont,43,105.0,16.1,41.33,4
Long Island City/Hunters Point,557,1375.0,17.42,38.41,4
Coney Island,54,131.25,17.49,52.82,4
Roosevelt Island,77,187.5,17.73,42.86,4
Bedford,309,758.75,18.03,43.65,4
Pelham Bay,15,36.25,18.46,33.06,4
Allerton/Pelham Gardens,39,95.0,19.17,42.07,4
Williamsburg (South Side),484,1195.0,19.66,45.55,4
West Concourse,62,152.5,20.27,43.71,4
Ocean Parkway South,31,76.25,20.66,54.99,4
Van Nest/Morris Park,40,96.25,20.76,43.5,4
East Harlem North,197,486.25,20.77,33.75,4
Norwood,40,98.75,20.82,50.95,4
Sunset Park West,86,212.5,20.89,58.67,4
Woodlawn/Wakefield,56,136.25,20.94,51.81,4
Country Club,13,32.5,21.28,46.45,4
Washington Heights South,210,515.0,21.52,43.04,4
Manhattan Beach,20,48.75,22.65,58.61,4
Dyker Heights,38,93.75,23.51,59.88,4
LaGuardia Airport,19886,48738.75,24.92,43.06,4
Bloomingdale,79,196.25,26.51,48.81,4
Morningside Heights,232,571.25,26.86,50.39,4
East Village,651,1608.75,28.54,49.09,4
Lower East Side,507,1246.25,30.02,49.22,4
Red Hook,28,70.0,31.58,58.43,4
UN/Turtle Bay South,489,1210.0,32.44,46.1,4
Riverdale/North Riverdale/Fieldston,70,170.0,33.65,59.5,4
Upper West Side North,379,935.0,34.4,54.46,4
Murray Hill,771,1918.75,34.63,47.62,4
Port Richmond,16,40.0,34.7,45.27,4
Flatiron,603,1503.75,37.52,53.27,4
World Trade Center,402,1001.25,38.31,58.77,4
Lincoln Square West,339,840.0,38.76,59.09,4
Midtown East,763,1897.5,39.86,52.23,4
Upper East Side South,415,1033.75,42.18,56.94,4
TriBeCa/Civic Center,766,1906.25,42.34,56.65,4
West Brighton,13,32.5,43.31,47.85,4
South Jamaica,153,362.5,7.27,19.56,12
North Corona,74,178.75,7.64,18.92,12
Saint Albans,233,536.25,8.79,23.78,12
East New York/Pennsylvania Avenue,74,175.0,8.82,27.92,12
Flushing Meadows-Corona Park,8,20.0,9.11,10.0,12
Astoria,471,1151.25,9.68,30.14,12
Woodside,181,441.25,9.98,24.59,12
Saint Michaels Cemetery/Woodside,1,2.5,10.08,14.93,12
College Point,91,216.25,10.09,26.03,12
Kew Gardens Hills,96,232.5,10.41,23.05,12
Laurelton,109,260.0,10.83,22.13,12
South Williamsburg,28,67.5,10.94,44.66,12
East Flatbush/Remsen Village,129,302.5,11.38,38.44,12
Queensboro Hill,50,123.75,11.96,25.49,12
Sunnyside,251,610.0,12.8,36.23,12
Ridgewood,282,691.25,12.82,36.33,12
Crotona Park,1,2.5,13.72,30.29,12
Ocean Hill,114,268.75,14.13,35.77,12
Coney Island,42,102.5,15.11,51.28,12
East Tremont,41,93.75,16.01,38.85,12
Allerton/Pelham Gardens,31,77.5,16.17,48.87,12
Bushwick South,514,1261.25,16.28,42.28,12
Crotona Park East,9,21.25,16.48,40.42,12
Woodlawn/Wakefield,64,157.5,16.54,55.88,12
Bensonhurst West,50,123.75,16.97,55.49,12
Long Island City/Hunters Point,620,1531.25,17.31,42.13,12
Marine Park/Mill Basin,63,152.5,17.59,45.52,12
West Concourse,58,141.25,18.14,43.82,12
Norwood,44,108.75,18.81,54.94,12
Flatbush/Ditmas Park,271,656.25,18.81,53.23,12
Crown Heights North,629,1527.5,18.84,44.96,12
East Harlem North,204,500.0,19.31,33.68,12
Roosevelt Island,86,212.5,19.49,45.84,12
Van Nest/Morris Park,39,93.75,20.09,42.57,12
Bedford,388,941.25,20.57,46.15,12
Sunset Park West,95,233.75,20.63,60.49,12
Dyker Heights,41,98.75,20.64,56.31,12
Pelham Bay,17,40.0,20.74,38.86,12
Manhattan Beach,35,86.25,20.86,47.3,12
Washington Heights South,272,666.25,22.45,49.37,12
Ocean Parkway South,23,56.25,23.18,58.42,12
Williamsburg (South Side),490,1208.75,23.94,48.19,12
Red Hook,48,120.0,23.99,58.52,12
LaGuardia Airport,18748,45898.75,25.05,47.66,12
Country Club,18,45.0,25.72,56.6,12
Bloomingdale,137,335.0,27.4,57.75,12
Port Richmond,13,32.5,28.1,46.23,12
Morningside Heights,403,986.25,28.42,56.77,12
Riverdale/North Riverdale/Fieldston,68,167.5,30.79,64.61,12
Lower East Side,570,1410.0,31.34,51.4,12
Marine Park/Floyd Bennett Field,3,7.5,32.11,80.41,12
West Brighton,16,40.0,33.4,60.23,12
East Village,828,2053.75,33.4,54.33,12
UN/Turtle Bay South,555,1380.0,36.04,51.31,12
Murray Hill,822,2042.5,36.89,51.77,12
Upper West Side North,451,1115.0,37.55,58.54,12
Lincoln Square West,363,900.0,39.38,62.46,12
Midtown East,791,1960.0,40.25,56.81,12
Flatiron,663,1655.0,40.46,56.35,12
Upper East Side South,491,1220.0,42.49,60.17,12
World Trade Center,414,1033.75,42.58,63.91,12
TriBeCa/Civic Center,732,1823.75,42.89,61.64,12
Marine Park/Floyd Bennett Field,1,2.5,3.96,36.31,8
Willets Point,2,5.0,5.45,17.17,8
North Corona,76,182.5,9.09,18.14,8
South Jamaica,173,406.25,9.25,19.83,8
Woodside,214,515.0,9.47,23.12,8
East New York/Pennsylvania Avenue,89,215.0,10.01,28.62,8
Saint Albans,259,602.5,10.27,22.23,8
Flushing Meadows-Corona Park,81,202.5,10.56,24.81,8
Astoria,561,1348.75,10.69,26.91,8
College Point,95,231.0,10.93,28.45,8
Laurelton,150,348.75,10.94,20.51,8
Ocean Hill,165,390.0,12.22,31.75,8
Queensboro Hill,87,211.25,12.79,22.07,8
Sunnyside,239,588.75,13.11,33.36,8
Kew Gardens Hills,114,276.25,13.96,27.63,8
East Flatbush/Remsen Village,154,363.75,14.57,37.17,8
Ridgewood,276,676.25,14.64,35.75,8
Coney Island,52,127.5,14.74,52.45,8
Manhattan Beach,25,61.25,15.03,45.24,8
Bushwick South,533,1286.25,15.67,37.6,8
Roosevelt Island,86,211.25,16.6,43.44,8
Crown Heights North,614,1495.0,17.07,41.36,8
Crotona Park East,34,83.75,17.26,42.81,8
Long Island City/Hunters Point,582,1432.5,17.28,38.74,8
South Williamsburg,22,55.0,17.69,46.95,8
Bedford,369,901.25,18.35,41.97,8
Marine Park/Mill Basin,85,208.75,18.67,42.29,8
Flatbush/Ditmas Park,247,596.25,18.83,51.42,8
East Tremont,40,97.5,19.14,42.34,8
Ocean Parkway South,15,37.5,19.52,53.25,8
Van Nest/Morris Park,66,162.5,19.89,42.63,8
Outside of NYC,3,7.5,20.11,45.56,8
Bensonhurst West,76,190.0,20.63,57.73,8
East Harlem North,245,592.5,20.75,34.81,8
Williamsburg (South Side),510,1258.75,21.13,43.72,8
Dyker Heights,33,82.5,21.54,58.31,8
West Concourse,70,172.5,22.86,42.64,8
Norwood,45,111.25,23.15,50.72,8
Pelham Bay,37,91.25,23.53,40.38,8
Allerton/Pelham Gardens,51,122.5,23.95,43.92,8
Washington Heights South,247,603.75,24.3,44.29,8
LaGuardia Airport,20030,49817.5,24.56,42.92,8
Country Club,15,37.5,24.73,44.25,8
Woodlawn/Wakefield,82,203.75,26.96,53.67,8
Sunset Park West,91,225.0,27.24,58.3,8
East Village,734,1805.0,28.97,48.47,8
Morningside Heights,281,692.5,29.33,50.68,8
Bloomingdale,95,230.0,29.62,51.18,8
Lower East Side,574,1411.25,30.06,47.79,8
Riverdale/North Riverdale/Fieldston,72,180.0,30.98,58.3,8
Red Hook,60,147.5,31.58,58.3,8
UN/Turtle Bay South,532,1317.5,33.42,45.37,8
Murray Hill,868,2152.5,33.88,47.11,8
West Brighton,14,35.0,34.0,64.62,8
Port Richmond,15,36.25,34.91,47.0,8
Upper West Side North,373,923.75,35.33,54.61,8
Midtown East,749,1865.0,37.09,49.8,8
World Trade Center,413,1027.5,37.94,57.84,8
Lincoln Square West,335,832.5,38.84,58.92,8
Flatiron,619,1540.0,38.94,52.52,8
TriBeCa/Civic Center,752,1873.75,40.47,58.45,8
Upper East Side South,385,960.0,40.69,56.97,8
Outside of NYC,2,3.75,4.43,34.89,11
Saint Michaels Cemetery/Woodside,1,2.5,6.94,6.46,11
North Corona,48,118.75,7.03,17.52,11
South Jamaica,110,260.0,8.17,20.34,11
Laurelton,114,270.0,8.22,20.85,11
Woodside,162,391.25,8.64,22.66,11
Flushing Meadows-Corona Park,10,25.0,8.74,13.08,11
College Point,54,132.5,8.97,25.09,11
Saint Albans,219,520.0,9.4,21.97,11
East New York/Pennsylvania Avenue,76,182.5,9.83,27.23,11
Astoria,470,1155.0,10.4,27.22,11
Queensboro Hill,54,131.25,10.43,23.07,11
East Flatbush/Remsen Village,101,232.5,10.5,36.48,11
Kew Gardens Hills,77,186.25,11.52,26.72,11
Ocean Hill,121,290.0,12.22,34.63,11
Sunnyside,237,581.25,12.5,33.83,11
Ridgewood,225,548.75,12.87,34.5,11
Coney Island,43,101.25,13.39,50.75,11
Bushwick South,546,1322.5,15.49,37.4,11
Marine Park/Mill Basin,70,170.0,15.9,42.32,11
Crown Heights North,536,1305.0,16.77,42.58,11
Long Island City/Hunters Point,571,1411.25,16.91,39.0,11
Marine Park/Floyd Bennett Field,1,2.5,16.93,40.3,11
Flatbush/Ditmas Park,221,538.75,17.11,51.91,11
Crotona Park East,18,42.5,17.37,45.25,11
South Williamsburg,35,83.75,17.54,41.48,11
Manhattan Beach,23,57.5,17.76,44.44,11
Ocean Parkway South,25,62.5,18.54,55.05,11
Bedford,361,882.5,18.93,43.94,11
Roosevelt Island,82,202.5,19.22,46.53,11
Norwood,41,101.25,19.35,45.0,11
Bensonhurst West,58,140.0,19.71,54.81,11
Allerton/Pelham Gardens,42,101.25,20.09,39.06,11
East Harlem North,200,483.75,20.13,32.72,11
West Concourse,63,155.0,20.26,47.51,11
Sunset Park West,94,230.0,20.4,61.12,11
Van Nest/Morris Park,37,90.0,20.59,44.08,11
Country Club,10,25.0,20.86,45.66,11
East Tremont,40,96.25,20.9,44.18,11
Pelham Bay,18,45.0,22.62,44.59,11
Woodlawn/Wakefield,50,122.5,22.64,53.11,11
Red Hook,51,126.25,22.68,53.61,11
Williamsburg (South Side),482,1188.75,23.08,43.2,11
LaGuardia Airport,18688,45995.0,24.02,46.2,11
Dyker Heights,38,95.0,24.95,56.78,11
Washington Heights South,258,633.75,25.32,47.31,11
Port Richmond,10,25.0,26.38,51.29,11
Riverdale/North Riverdale/Fieldston,59,145.0,27.55,62.17,11
Morningside Heights,319,793.75,29.98,53.1,11
Bloomingdale,117,290.0,30.33,49.16,11
East Village,817,2022.5,32.2,49.45,11
Lower East Side,554,1371.25,32.4,50.51,11
UN/Turtle Bay South,548,1365.0,34.47,47.66,11
Murray Hill,844,2101.25,37.14,47.57,11
Upper West Side North,428,1062.5,37.73,57.57,11
West Brighton,10,25.0,39.26,53.26,11
Midtown East,847,2115.0,40.34,54.81,11
Upper East Side South,422,1053.75,40.46,56.49,11
Flatiron,588,1467.5,41.2,54.58,11
World Trade Center,438,1091.25,41.55,60.23,11
TriBeCa/Civic Center,751,1873.75,41.9,58.27,11
Lincoln Square West,351,876.25,42.63,60.4,11
Marine Park/Floyd Bennett Field,1,2.5,-16.06,92.13,6
Willets Point,1,2.5,2.0,10.71,6
North Corona,62,150.0,7.2,19.27,6
South Jamaica,131,308.75,8.67,18.51,6
Laurelton,137,312.5,9.17,18.82,6
East New York/Pennsylvania Avenue,59,140.0,9.18,30.36,6
Saint Albans,211,497.5,9.48,22.83,6
Woodside,156,385.0,9.55,25.55,6
Astoria,441,1075.0,9.84,28.72,6
College Point,94,226.25,10.78,25.71,6
Flushing Meadows-Corona Park,22,55.0,10.93,23.56,6
Kew Gardens Hills,82,201.25,11.13,23.37,6
South Williamsburg,27,62.5,11.44,43.34,6
East Flatbush/Remsen Village,113,266.25,11.49,34.49,6
Ridgewood,255,606.25,11.61,36.35,6
Queensboro Hill,63,153.75,11.8,25.25,6
Sunnyside,223,551.25,11.92,33.52,6
Ocean Hill,137,318.75,12.0,33.18,6
Bensonhurst West,50,121.25,12.36,55.58,6
Coney Island,43,105.0,12.49,55.28,6
Manhattan Beach,16,40.0,13.66,42.53,6
Marine Park/Mill Basin,73,180.0,14.1,44.54,6
Bushwick South,471,1150.0,14.59,39.27,6
Roosevelt Island,81,197.5,14.69,40.04,6
Flatbush/Ditmas Park,258,631.25,14.75,52.76,6
Crotona Park East,23,55.0,15.53,36.14,6
Crown Heights North,550,1343.75,15.65,42.32,6
Long Island City/Hunters Point,548,1357.5,16.22,40.18,6
East Tremont,49,122.5,16.36,41.11,6
Allerton/Pelham Gardens,39,92.5,17.4,39.12,6
Bedford,343,838.75,17.66,43.92,6
Pelham Bay,22,55.0,17.68,40.73,6
Williamsburg (South Side),483,1193.75,19.0,45.51,6
East Harlem North,228,545.0,19.22,37.43,6
Norwood,48,118.75,19.5,53.48,6
Woodlawn/Wakefield,47,112.5,19.74,59.93,6
Van Nest/Morris Park,39,97.5,20.28,41.54,6
Country Club,14,33.75,20.53,41.9,6
Ocean Parkway South,23,57.5,20.64,53.66,6
Sunset Park West,99,243.75,20.65,62.3,6
West Concourse,58,142.5,20.81,40.28,6
West Brighton,18,45.0,23.19,59.58,6
Washington Heights South,232,563.75,23.7,46.77,6
Dyker Heights,30,73.75,24.07,60.52,6
LaGuardia Airport,19649,48847.5,24.93,45.32,6
Red Hook,53,132.5,26.36,61.14,6
Bloomingdale,77,190.0,26.68,51.0,6
Port Richmond,13,32.5,26.8,60.33,6
Morningside Heights,206,507.5,27.12,49.75,6
East Village,702,1738.75,28.98,50.64,6
Lower East Side,579,1427.5,29.45,51.03,6
Riverdale/North Riverdale/Fieldston,54,133.75,31.99,64.74,6
UN/Turtle Bay South,547,1351.25,32.29,48.01,6
Murray Hill,775,1930.0,34.76,49.27,6
Upper West Side North,378,941.25,35.05,55.62,6
World Trade Center,374,931.25,35.98,61.09,6
Lincoln Square West,341,846.25,36.41,58.97,6
Midtown East,859,2142.5,36.84,52.44,6
Flatiron,586,1461.25,37.76,54.09,6
Upper East Side South,431,1077.5,40.47,58.16,6
TriBeCa/Civic Center,743,1853.75,40.62,57.66,6
Outside of NYC,1,2.5,53.01,58.68,6
Green-Wood Cemetery,1,2.5,6.38,60.38,2
Howard Beach,117,273.75,7.51,18.28,2
Elmhurst/Maspeth,71,171.25,8.07,23.64,2
East New York,253,597.5,8.07,22.42,2
Richmond Hill,147,358.75,8.1,20.31,2
Hollis,40,93.75,8.16,27.21,2
Far Rockaway,87,200.0,8.22,32.29,2
Corona,86,212.5,8.52,24.04,2
Old Astoria,187,457.5,10.38,27.38,2
Glendale,51,125.0,10.78,30.05,2
Crown Heights South,174,422.5,10.89,41.73,2
Middle Village,68,170.0,11.44,30.8,2
Maspeth,60,146.25,11.51,32.9,2
Bushwick North,221,541.25,12.93,37.85,2
Fresh Meadows,31,76.25,13.09,29.86,2
Jamaica Bay,1,2.5,13.42,16.98,2
Auburndale,51,125.0,14.79,31.61,2
Bay Terrace/Fort Totten,44,110.0,15.08,37.84,2
Kensington,49,121.25,15.45,56.67,2
Madison,37,91.25,15.72,54.06,2
Soundview/Castle Hill,49,118.75,16.29,37.63,2
Soundview/Bruckner,30,73.75,16.9,37.23,2
Bronxdale,24,57.5,16.92,41.97,2
Sunset Park East,40,98.75,17.09,62.32,2
Grymes Hill/Clifton,18,45.0,17.1,53.18,2
Westchester Village/Unionport,29,72.5,17.5,38.81,2
Pelham Parkway,60,148.75,17.66,39.55,2
Schuylerville/Edgewater Park,53,130.0,18.5,36.86,2
Clinton Hill,326,807.5,18.52,44.77,2
Pelham Bay Park,1,2.5,19.09,25.62,2
Hamilton Heights,146,355.0,19.4,40.88,2
Rockaway Park,34,83.75,19.85,46.94,2
Eastchester,27,66.25,20.09,39.5,2
Van Cortlandt Village,47,116.25,20.25,51.57,2
JFK Airport,17140,41721.25,20.49,55.49,2
Park Slope,427,1055.0,21.28,54.39,2
Washington Heights North,154,375.0,21.55,46.41,2
Alphabet City,147,363.75,21.9,49.87,2
Manhattanville,65,160.0,22.52,43.39,2
Two Bridges/Seward Park,202,490.0,22.63,46.93,2
Manhattan Valley,201,490.0,24.86,52.88,2
Gowanus,55,136.25,25.88,57.7,2
Yorkville East,279,687.5,25.93,42.77,2
Yorkville West,429,1065.0,26.94,43.08,2
Brooklyn Heights,290,722.5,26.99,51.31,2
Bloomfield/Emerson Hill,35,86.25,28.66,43.91,2
Sutton Place/Turtle Bay North,348,866.25,28.9,45.62,2
Greenwich Village South,228,565.0,30.62,50.49,2
Seaport,164,406.25,31.99,51.94,2
Eltingville/Annadale/Prince's Bay,21,52.5,34.3,58.41,2
West Village,419,1041.25,34.48,50.59,2
Rossville/Woodrow,10,25.0,35.39,52.28,2
Garment District,530,1318.75,35.56,51.96,2
Midtown South,1007,2507.5,36.07,49.75,2
Lincoln Square East,416,1031.25,36.61,55.9,2
SoHo,288,720.0,36.93,53.72,2
Central Park,78,193.75,37.67,53.7,2
Financial District South,145,361.25,38.85,58.45,2
Midtown Center,990,2466.25,39.15,53.97,2
Meatpacking/West Village West,280,695.0,39.22,57.34,2
Midtown North,728,1817.5,40.12,56.49,2
Battery Park City,337,841.25,40.58,57.85,2
Charleston/Tottenville,9,22.5,43.36,59.3,2
Randalls Island,4,10.0,4.0,58.61,8
Rosedale,160,365.0,9.97,21.97,8
Jamaica,359,855.0,10.51,21.44,8
Starrett City,47,111.25,10.72,26.22,8
Kew Gardens,294,711.25,11.08,22.55,8
Forest Park/Highland Park,6,15.0,11.52,30.3,8
Flushing,379,927.5,12.03,23.06,8
Steinway,328,800.0,12.09,25.03,8
Hillcrest/Pomonok,79,192.5,12.16,24.86,8
Woodhaven,138,330.0,12.25,24.43,8
Cypress Hills,108,262.5,13.0,25.68,8
Canarsie,247,591.25,13.2,32.0,8
Hammels/Arverne,71,172.5,13.58,40.17,8
Bellerose,44,105.0,13.63,31.89,8
Whitestone,95,233.75,13.94,32.09,8
Douglaston,64,150.0,14.09,35.08,8
Jamaica Estates,83,197.5,14.43,29.78,8
East Flatbush/Farragut,130,308.75,14.62,41.46,8
Long Island City/Queens Plaza,272,672.5,15.82,34.7,8
Oakland Gardens,55,136.25,16.0,33.38,8
Bayside,92,223.75,16.29,34.97,8
Brighton Beach,40,97.5,17.61,43.72,8
Greenpoint,537,1321.25,18.14,39.79,8
Gravesend,22,51.25,18.18,45.75,8
Glen Oaks,43,107.5,18.57,33.85,8
Astoria Park,1,2.5,19.67,42.51,8
Sheepshead Bay,76,186.25,20.66,48.57,8
Parkchester,63,153.75,21.11,39.55,8
Marble Hill,15,37.5,21.2,54.0,8
West Farms/Bronx River,36,85.0,21.34,39.77,8
Fordham South,27,67.5,21.7,49.14,8
Mount Hope,56,136.25,21.75,43.25,8
Prospect Heights,252,625.0,22.23,47.32,8
Williamsbridge/Olinville,71,172.5,22.31,47.32,8
Midwood,92,225.0,22.39,51.31,8
Central Harlem North,316,765.0,22.46,39.24,8
Bedford Park,58,142.5,22.94,49.58,8
Co-Op City,95,228.75,23.21,48.58,8
Fort Greene,270,663.75,23.23,46.16,8
Columbia Street,31,76.25,23.27,48.49,8
Belmont,53,131.25,23.76,50.32,8
Bay Ridge,165,407.5,24.21,56.28,8
East Concourse/Concourse Village,74,178.75,24.24,45.65,8
Downtown Brooklyn/MetroTech,387,956.25,24.85,47.65,8
Inwood,88,217.5,25.54,51.81,8
East Harlem South,253,606.25,26.04,43.1,8
Kips Bay,310,755.0,26.15,43.77,8
Borough Park,45,110.0,26.53,61.63,8
Lenox Hill East,264,646.25,28.19,45.79,8
Brooklyn Navy Yard,17,41.25,28.23,51.6,8
Carroll Gardens,155,385.0,30.63,55.87,8
Cobble Hill,81,202.5,30.71,54.49,8
Saint George/New Brighton,28,68.75,31.61,59.47,8
DUMBO/Vinegar Hill,197,492.5,31.79,51.74,8
Stapleton,26,65.0,34.49,51.53,8
Clinton West,310,771.25,35.99,56.74,8
Great Kills,10,25.0,36.09,80.43,8
Heartland Village/Todt Hill,27,67.5,37.43,56.29,8
South Beach/Dongan Hills,25,62.5,37.99,64.5,8
Times Sq/Theatre District,1625,4046.25,40.21,56.29,8
Hudson Sq,326,811.25,40.42,54.39,8
Oakwood,11,27.5,40.98,54.41,8
West Chelsea/Hudson Yards,493,1221.25,43.18,57.86,8
Battery Park,2,5.0,43.53,53.05,8
Cypress Hills,105,247.5,9.0,23.56,3
Starrett City,30,71.25,9.1,25.58,3
Jamaica,241,581.25,9.22,20.42,3
Rosedale,100,241.25,9.4,19.8,3
Woodhaven,94,227.5,9.41,23.47,3
Steinway,255,625.0,10.13,23.2,3
Kew Gardens,227,545.0,10.58,22.22,3
Canarsie,173,407.5,10.65,31.03,3
Hammels/Arverne,52,120.0,10.81,35.19,3
Flushing,317,775.0,11.34,24.8,3
Hillcrest/Pomonok,75,181.25,11.4,25.6,3
Jamaica Estates,65,160.0,11.9,28.76,3
Bayside,49,121.25,13.18,33.56,3
Oakland Gardens,40,100.0,13.25,33.39,3
Whitestone,66,165.0,13.71,30.11,3
East Flatbush/Farragut,69,165.0,13.81,42.45,3
Long Island City/Queens Plaza,208,517.5,13.84,36.27,3
Bellerose,36,86.25,14.0,30.61,3
Astoria Park,2,5.0,14.0,15.78,3
Glen Oaks,37,88.75,14.7,36.93,3
Gravesend,20,50.0,15.83,50.88,3
Parkchester,35,83.75,16.26,39.76,3
Williamsbridge/Olinville,59,136.25,16.31,48.8,3
Brighton Beach,35,83.75,16.4,49.87,3
Forest Park/Highland Park,1,2.5,16.47,21.15,3
Fordham South,16,38.75,17.27,45.61,3
Greenpoint,437,1083.75,17.28,41.46,3
Sheepshead Bay,48,118.75,17.51,50.79,3
Douglaston,28,70.0,17.62,36.24,3
East Concourse/Concourse Village,56,137.5,18.37,42.31,3
West Farms/Bronx River,34,81.25,18.4,35.82,3
Marble Hill,14,33.75,18.87,57.83,3
Bedford Park,36,87.5,18.97,50.79,3
Co-Op City,51,122.5,19.98,45.61,3
Mount Hope,50,125.0,20.52,47.59,3
Fort Greene,230,570.0,20.6,47.44,3
Brooklyn Navy Yard,15,37.5,20.81,50.1,3
Randalls Island,1,2.5,20.92,83.13,3
Bay Ridge,113,277.5,21.09,59.59,3
Downtown Brooklyn/MetroTech,349,863.75,21.23,47.91,3
Midwood,79,196.25,21.38,55.64,3
Prospect Heights,202,500.0,21.83,49.9,3
Inwood,49,120.0,22.53,49.82,3
Borough Park,58,145.0,23.32,59.66,3
Central Harlem North,242,592.5,24.06,41.88,3
Belmont,68,167.5,24.29,47.22,3
Carroll Gardens,107,266.25,24.98,57.58,3
Stapleton,18,43.75,25.67,63.43,3
East Harlem South,226,555.0,25.78,43.84,3
Kips Bay,283,696.25,26.18,45.3,3
Columbia Street,18,45.0,27.25,65.22,3
DUMBO/Vinegar Hill,180,445.0,28.18,51.91,3
Lenox Hill East,291,718.75,28.21,45.65,3
Cobble Hill,70,175.0,30.55,57.03,3
South Beach/Dongan Hills,18,45.0,32.05,58.76,3
Oakwood,11,27.5,33.16,56.51,3
Saint George/New Brighton,19,47.5,34.21,57.01,3
Battery Park,5,12.5,35.58,70.16,3
Clinton West,307,763.75,35.8,56.75,3
Times Sq/Theatre District,1572,3916.25,39.53,57.22,3
Heartland Village/Todt Hill,23,56.25,40.14,62.82,3
Hudson Sq,284,710.0,40.23,58.61,3
Great Kills,17,42.5,44.2,65.17,3
West Chelsea/Hudson Yards,483,1198.75,44.77,61.26,3
Randalls Island,1,2.5,-9.45,79.61,12
Astoria Park,2,5.0,5.03,19.24,12
Rosedale,100,226.25,7.25,23.98,12
