zone,trip_count,total_airport_fees,avg_company_profit,avg_driver_income
Mariners Harbor,31,76.25,27.16,47.3,8
Spuyten Duyvil/Kingsbridge,78,190.0,27.18,54.67,8
Boerum Hill,382,950.0,27.37,52.3,8
Central Harlem,326,803.75,28.1,43.83,8
Highbridge Park,4,10.0,29.57,40.13,8
City Island,5,12.5,30.74,48.98,8
Lenox Hill West,462,1141.25,31.68,47.59,8
Gramercy,527,1303.75,33.45,47.84,8
New Dorp/Midland Beach,20,50.0,33.52,64.71,8
Arrochar/Fort Wadsworth,19,47.5,34.28,58.93,8
Clinton East,911,2257.5,35.04,54.66,8
Little Italy/NoLiTa,358,885.0,35.09,54.16,8
Financial District North,633,1570.0,35.96,56.33,8
Upper East Side North,406,1003.75,36.71,50.11,8
Penn Station/Madison Sq West,522,1293.75,37.56,52.2,8
Greenwich Village North,336,837.5,38.0,55.52,8
Westerleigh,19,46.25,39.35,50.8,8
Upper West Side South,451,1118.75,39.41,58.22,8
Union Sq,592,1473.75,40.04,54.29,8
East Chelsea,817,2031.25,40.46,55.65,8
Arden Heights,9,22.5,48.15,54.22,8
South Ozone Park,1477,3571.25,6.5,11.2,7
East Elmhurst,309,730.0,6.75,14.53,7
Springfield Gardens South,226,525.0,7.18,16.0,7
Springfield Gardens North,291,676.25,7.37,12.94,7
Elmhurst,263,640.0,8.41,22.38,7
Ozone Park,122,288.75,8.76,18.8,7
Jackson Heights,451,1090.0,8.9,21.07,7
Baisley Park,449,1057.5,9.43,16.2,7
Brownsville,116,276.25,10.31,33.37,7
Rego Park,91,220.0,10.67,26.65,7
East Flushing,34,82.5,10.72,27.17,7
Cambria Heights,126,296.25,10.74,26.52,7
Murray Hill-Queens,77,191.25,11.39,25.43,7
Forest Hills,354,862.5,11.56,24.66,7
Briarwood/Jamaica Hills,158,377.5,11.83,23.77,7
Queens Village,167,397.5,12.01,27.79,7
Bensonhurst East,43,106.25,13.0,50.08,7
Highbridge Park,2,5.0,13.24,37.25,7
Erasmus,106,255.0,13.27,44.17,7
Queensbridge/Ravenswood,107,263.75,13.7,33.06,7
Flatlands,131,318.75,14.28,39.02,7
