from_zone,to_zone,empty_runs_count,avg_distance_miles
Crown Heights North,JFK Airport,363,5.51,5
Outside of NYC,Upper West Side South,368,13.12,5
Outside of NYC,Lenox Hill West,369,12.42,5
Outside of NYC,Clinton West,373,13.81,5
Outside of NYC,South Ozone Park,376,12.78,5
Outside of NYC,Financial District North,377,14.38,5
Outside of NYC,Greenwich Village North,380,13.08,5
Outside of NYC,Upper East Side North,380,12.63,5
Outside of NYC,Flatiron,382,11.89,5
Crown Heights North,LaGuardia Airport,395,5.44,5
Outside of NYC,Penn Station/Madison Sq West,395,14.02,5
Outside of NYC,Greenwich Village South,400,13.87,5
Outside of NYC,Canarsie,403,12.7,5
Outside of NYC,Forest Hills,407,12.1,5
Outside of NYC,Flatbush/Ditmas Park,408,13.11,5
Outside of NYC,Stuyvesant Heights,413,13.7,5
Outside of NYC,Prospect-Lefferts Gardens,416,13.67,5
Outside of NYC,Washington Heights South,416,13.53,5
Outside of NYC,Mott Haven/Port Morris,417,13.97,5
Outside of NYC,Little Italy/NoLiTa,429,13.4,5
Outside of NYC,East Williamsburg,431,12.91,5
Outside of NYC,Lincoln Square East,431,13.48,5
Outside of NYC,Jamaica,438,13.57,5
Outside of NYC,Central Harlem North,441,12.95,5
Outside of NYC,Bedford,442,13.47,5
Outside of NYC,Bushwick North,451,14.22,5
Outside of NYC,Jackson Heights,454,12.93,5
Outside of NYC,Williamsburg (South Side),473,14.75,5
Outside of NYC,Gramercy,490,13.67,5
Outside of NYC,Greenpoint,503,12.32,5
Outside of NYC,Park Slope,505,13.58,5
Outside of NYC,Midtown East,521,14.16,5
LaGuardia Airport,JFK Airport,521,9.96,5
Outside of NYC,Long Island City/Hunters Point,532,14.38,5
Outside of NYC,Clinton East,536,14.15,5
Outside of NYC,Astoria,540,14.46,5
Outside of NYC,Murray Hill,554,13.54,5
Outside of NYC,Upper East Side South,571,13.46,5
Outside of NYC,East New York,596,14.22,5
Outside of NYC,Bushwick South,605,13.54,5
Outside of NYC,Midtown South,611,13.75,5
Outside of NYC,Lower East Side,615,13.52,5
Outside of NYC,East Chelsea,622,14.12,5
Outside of NYC,West Village,635,12.92,5
Outside of NYC,Union Sq,653,14.31,5
Outside of NYC,Midtown North,654,13.67,5
Outside of NYC,Williamsburg (North Side),657,14.32,5
Outside of NYC,Crown Heights North,728,13.07,5
Outside of NYC,West Chelsea/Hudson Yards,729,13.85,5
Outside of NYC,Times Sq/Theatre District,739,14.05,5
Outside of NYC,TriBeCa/Civic Center,755,13.65,5
Outside of NYC,Midtown Center,785,15.07,5
Outside of NYC,East Village,820,13.81,5
Outside of NYC,JFK Airport,1240,15.27,5
Outside of NYC,LaGuardia Airport,1288,15.77,5
Outside of NYC,Bedford Park,313,13.73,6
Outside of NYC,East Flatbush/Remsen Village,314,14.21,6
Outside of NYC,Greenwich Village North,315,13.02,6
Outside of NYC,UN/Turtle Bay South,318,12.87,6
Outside of NYC,Washington Heights North,319,12.61,6
Outside of NYC,Downtown Brooklyn/MetroTech,320,13.06,6
Bushwick South,LaGuardia Airport,329,5.33,6
Outside of NYC,Bay Ridge,330,12.73,6
Outside of NYC,Garment District,337,13.91,6
Outside of NYC,Ridgewood,339,13.87,6
Outside of NYC,SoHo,339,12.44,6
Outside of NYC,Sunnyside,339,13.9,6
Outside of NYC,Boerum Hill,341,13.35,6
Outside of NYC,Clinton Hill,345,11.99,6
Outside of NYC,Upper West Side South,349,13.45,6
Outside of NYC,East Concourse/Concourse Village,354,12.36,6
